Chr,gene_symbol,tissue,fold_change,p_value,regulation,detecting_method,pubMed_ID
7,ABCA13, peripheral blood,1.56,0.00674,UP,qRT-PCR,21943286
7,ABCB4, peripheral blood,-1.66,0.0000137,DOWN,qRT-PCR,21943286
16,ACSM5, peripheral blood,1.58,0.00641,UP,qRT-PCR,21943286
5,ADCY2, peripheral blood,-1.67,0.0084,DOWN,qRT-PCR,21943286
2,AFF3, peripheral blood,-1.52,0.00535,DOWN,qRT-PCR,21943286
10,ANKRD16, peripheral blood,-1.53,0.00645,DOWN,qRT-PCR,21943286
4,AREG, peripheral blood,1.73,0.00193,UP,qRT-PCR,21943286
15,ARID3B, peripheral blood,1.63,0.00351,UP,qRT-PCR,21943286
4,BANK1, peripheral blood,-1.56,0.000717,DOWN,qRT-PCR,21943286
20,BFSP1, peripheral blood,-1.62,0.00208,DOWN,qRT-PCR,21943286
13,BIVM, peripheral blood,-1.54,0.00437,DOWN,qRT-PCR,21943286
10,BLNK, peripheral blood,-1.61,0.000376,DOWN,qRT-PCR,21943286
11,C11orf80, peripheral blood,-1.54,0.000317,DOWN,qRT-PCR,21943286
1,C1orf150, peripheral blood,-1.87,0.00105,DOWN,qRT-PCR,21943286
20,C20orf152, peripheral blood,1.56,0.000122,UP,qRT-PCR,21943286
8,C8orf79, peripheral blood,1.51,0.00525,UP,qRT-PCR,21943286
12,CACNA1C, peripheral blood,1.5,0.0054,UP,qRT-PCR,21943286
3,CACNA1D, peripheral blood,1.62,0.0027,UP,qRT-PCR,21943286
2,CACNB4, peripheral blood,1.59,0.000544,UP,qRT-PCR,21943286
12,CCDC92, peripheral blood,-1.65,0.000957,DOWN,qRT-PCR,21943286
5,CD180, peripheral blood,-1.64,0.000116,DOWN,qRT-PCR,21943286
16,CD19, peripheral blood,-1.61,0.0000936,DOWN,qRT-PCR,21943286
3,CD200, peripheral blood,-1.74,0.00303,DOWN,qRT-PCR,21943286
19,CD22, peripheral blood,-1.66,0.0000717,DOWN,qRT-PCR,21943286
20,CD40, peripheral blood,-1.72,0.000268,DOWN,qRT-PCR,21943286
9,CD72, peripheral blood,-1.65,0.00732,DOWN,qRT-PCR,21943286
19,CD79A, peripheral blood,-1.61,0.000517,DOWN,qRT-PCR,21943286
17,CD79B, peripheral blood,-1.56,0.0000755,DOWN,qRT-PCR,21943286
2,CD8B, peripheral blood,-1.69,0.00322,DOWN,qRT-PCR,21943286
22,CELSR1, peripheral blood,-1.58,0.00129,DOWN,qRT-PCR,21943286
2,CHN1, peripheral blood,-1.91,0.00162,DOWN,qRT-PCR,21943286
12,CIT, peripheral blood,1.56,0.00459,UP,qRT-PCR,21943286
13,CKAP2, peripheral blood,-1.58,0.000567,DOWN,qRT-PCR,21943286
12,CLEC1B, peripheral blood,-1.5,0.00315,DOWN,qRT-PCR,21943286
12,CLEC4D, peripheral blood,1.55,0.000442,UP,qRT-PCR,21943286
2,COBLL1, peripheral blood,-1.73,0.000442,DOWN,qRT-PCR,21943286
6,COL19A1, peripheral blood,-1.74,0.0000294,DOWN,qRT-PCR,21943286
2,COL4A4, peripheral blood,1.8,0.00301,UP,qRT-PCR,21943286
1,CR2, peripheral blood,-1.66,0.000292,DOWN,qRT-PCR,21943286
6,CRISP3, peripheral blood,1.68,0.00141,UP,qRT-PCR,21943286
10,DDIT4, peripheral blood,1.53,0.00165,UP,qRT-PCR,21943286
Y,DDX3Y, peripheral blood,1.75,0.000178,UP,qRT-PCR,21943286
5,EBF1, peripheral blood,-1.56,0.000138,DOWN,qRT-PCR,21943286
3,EOMES, peripheral blood,-1.54,0.00516,DOWN,qRT-PCR,21943286
4,EREG, peripheral blood,1.8,0.000495,UP,qRT-PCR,21943286
11,FAM111B, peripheral blood,-1.52,0.00122,DOWN,qRT-PCR,21943286
19,FAM129C, peripheral blood,-1.52,0.00388,DOWN,qRT-PCR,21943286
7,FBXL13, peripheral blood,1.75,0.00376,UP,qRT-PCR,21943286
19,FCER2, peripheral blood,-1.87,0.000247,DOWN,qRT-PCR,21943286
1,FCRL1, peripheral blood,-1.64,0.000218,DOWN,qRT-PCR,21943286
1,FCRL2, peripheral blood,-1.54,0.00125,DOWN,qRT-PCR,21943286
1,FCRLA, peripheral blood,-1.6,0.000918,DOWN,qRT-PCR,21943286
18,GNAL, peripheral blood,1.61,0.00514,UP,qRT-PCR,21943286
22,GNAZ, peripheral blood,-1.51,0.0023,DOWN,qRT-PCR,21943286
5,GPX3, peripheral blood,1.57,0.00188,UP,qRT-PCR,21943286
11,HBB, peripheral blood,-2.01,0.00554,DOWN,qRT-PCR,21943286
10,HECTD2, peripheral blood,-1.51,0.000639,DOWN,qRT-PCR,21943286
12,IFNG, peripheral blood,-1.75,0.00534,DOWN,qRT-PCR,21943286
14,IGHD, peripheral blood,-1.76,0.0000955,DOWN,qRT-PCR,21943286
14,IGHM, peripheral blood,-1.61,0.00112,DOWN,qRT-PCR,21943286
22,IGLL3, peripheral blood,1.51,0.00654,UP,qRT-PCR,21943286
